time,x_maximum
3.781242309367823964e+02,1.582970245584523283e+01
3.805540501607884494e+02,1.163508039286823426e+01
3.812008707612721423e+02,1.192850667837983814e+01
3.818549153615096543e+02,1.226266918050675692e+01
3.825187065554318906e+02,1.266788768645387542e+01
3.831970856383472892e+02,1.318141494171403849e+01
3.839001073886172435e+02,1.388302823330372426e+01
3.846573568111945747e+02,1.501217618714845159e+01
3.862160476352113960e+02,1.332640831640270918e+01
3.869279433885335493e+02,1.410045337937694754e+01
3.877118205090941956e+02,1.544092684102238344e+01
3.892659644080994781e+02,1.534310133830838474e+01
3.908086924839744825e+02,1.490413680125857177e+01
3.924073306171484319e+02,1.260041776488594678e+01
3.930831615283071869e+02,1.310089279583604416e+01
3.937817330087516439e+02,1.376812193645601390e+01
3.945274795646651000e+02,1.480583543015099757e+01
3.962903500195530455e+02,1.120804824085560014e+01
3.969283851808365284e+02,1.144136777443829978e+01
3.975710455824346354e+02,1.169341171257770817e+01
3.982192233941136124e+02,1.198519635058407751e+01
3.988747979874768248e+02,1.233045058147820860e+01
3.995407972903918221e+02,1.275190757006401299e+01
4.002226681276854947e+02,1.329171526013081106e+01
4.009322268789885015e+02,1.404411567863276922e+01
4.017084546453297662e+02,1.532402083265770720e+01
4.032497600242120939e+02,1.481822639173243772e+01
4.049565925373011623e+02,1.155584309311525359e+01
4.056016332408933067e+02,1.183701075538246350e+01
4.062533056513085512e+02,1.215401176981315245e+01
4.069137280502949920e+02,1.253456003534803642e+01
4.075869197280079561e+02,1.300929512567222801e+01
4.082807253761925494e+02,1.363988959271991064e+01
4.090151552429553590e+02,1.458784405943210416e+01
4.099179028628468586e+02,1.682017201491441227e+01
4.128895598747793088e+02,1.617808749401179114e+01
4.151459621629507524e+02,1.514648080917953621e+01
4.166865271381180378e+02,1.401987682424225135e+01
4.174598430799315452e+02,1.527847267853825208e+01
4.189988368560685217e+02,1.461695227511048856e+01
4.199168421120060657e+02,1.695464820520063043e+01
4.236231801212836103e+02,1.239722306078576963e+01
4.242915505338056619e+02,1.284315526039270594e+01
4.249774270524275721e+02,1.341327320309213711e+01
4.256948608646611660e+02,1.422724361070576826e+01
4.264985589208242800e+02,1.572365945488708761e+01
4.281672310181904209e+02,1.701323356780978813e+01
4.317938251281814246e+02,1.361290130261628306e+01
4.325262223875221252e+02,1.454741937065363722e+01
4.334115335438096395e+02,1.665709766623113808e+01
4.363465147568263660e+02,1.456164917634053069e+01
4.372380110122775250e+02,1.671620529915602305e+01
4.401740541009712615e+02,1.512493728925219649e+01
4.417161748923489881e+02,1.391707210930914052e+01
4.424773188078348767e+02,1.507916695798848572e+01
4.440243026606231638e+02,1.368790836108256315e+01
4.447629829843639300e+02,1.467201091575396710e+01
4.457164982641915003e+02,1.724093795951951336e+01
4.493804926937295363e+02,1.664232243492255492e+01
4.523170380837286189e+02,1.441703662138195163e+01
4.531610912831735050e+02,1.622496504417962626e+01
4.554254783156364965e+02,1.547794711852402294e+01
4.569861338302180798e+02,1.551785929657842544e+01
4.585553760128224781e+02,1.571184987618965323e+01
4.602131222985635191e+02,1.691015477070553885e+01
4.633381127580208840e+02,1.769977927512365312e+01
4.682434800116840847e+02,1.442776728664770580e+01
4.690903722147188546e+02,1.625704429540309803e+01
4.713631142477673848e+02,1.571431405210121568e+01
4.730230621579231638e+02,1.693139773414651472e+01
4.768859880506802256e+02,1.119763814554546855e+01
4.775238322447195856e+02,1.142966043145625044e+01
4.781662541049557831e+02,1.167998503485016393e+01
4.788141187675475976e+02,1.196951302283385843e+01
4.794692653468518415e+02,1.231166194518134205e+01
4.801346440568512435e+02,1.272854953423922453e+01
4.808155258946860044e+02,1.326090008384095675e+01
4.815232037385038097e+02,1.399865532590025552e+01
4.822936774072488788e+02,1.523290468660705699e+01
4.838317889748590801e+02,1.441418573138668613e+01
4.846751013802992247e+02,1.621653217054839402e+01
4.869377075413623288e+02,1.541730628032876105e+01
4.884884280884198233e+02,1.523627771799641550e+01
4.900265562589405590e+02,1.443107410492581799e+01
4.908743399744599287e+02,1.626704059677026493e+01
4.931502581842496511e+02,1.579032317438117161e+01
4.949445224363649913e+02,1.790588439681881638e+01
5.005216899636954508e+02,1.355923213448671305e+01
5.012498526596051533e+02,1.446041901252293371e+01
5.021056149389765437e+02,1.635482887577505906e+01
5.044274042032967031e+02,1.654914406602341614e+01
5.073965978629421443e+02,1.337315027018349056e+01
5.081115152820198091e+02,1.417068460264943042e+01
5.089058681616727426e+02,1.559378834172566819e+01
5.104974638807508995e+02,1.611080983343121531e+01
5.127496318116587872e+02,1.467826789195482817e+01
5.137088973373131466e+02,1.728415474844623390e+01
5.174963655574009636e+02,1.772113770539003497e+01
5.223970299315236616e+02,1.480925095303489947e+01
5.241375731919199552e+02,1.133675560260436832e+01
5.247780558173850523e+02,1.158672846581463567e+01
5.254238067202182947e+02,1.186103256721773391e+01
5.260760906023758707e+02,1.218245189041439680e+01
5.267373751081098590e+02,1.256930179379776291e+01
5.274118788292659019e+02,1.305381980056941060e+01
5.281079634816169346e+02,1.370190737765000755e+01
5.288476878674557611e+02,1.469181851338328570e+01
5.298182434055606791e+02,1.736653130972462478e+01
5.341018937027039328e+02,1.360310476966429682e+01
5.348335024938181732e+02,1.453141080402759755e+01
5.357126750621905558e+02,1.659711066870258023e+01
5.386592628344174045e+02,1.394807437691778063e+01
5.394239142649414589e+02,1.513799105788733890e+01
5.409650769139274189e+02,1.397743757080626992e+01
5.417331759893638718e+02,1.519469289507604337e+01
5.432716818702194814e+02,1.424148595695394448e+01
5.440781110078133906e+02,1.576065724652798927e+01
5.457952076936553567e+02,1.741131615273514655e+01
5.500539963083878092e+02,1.437164993793046364e+01
5.508868670937058596e+02,1.609483514143446214e+01
5.531392042234424480e+02,1.456522441538294466e+01
5.540322156205278361e+02,1.673046485756229984e+01
5.569702808714272351e+02,1.526044124663235912e+01
5.585087609445948829e+02,1.453871361795697936e+01
5.593910517539621878e+02,1.662781258571802567e+01
5.623299117255032797e+02,1.427117198650588570e+01
5.631417760868093865e+02,1.583264505598631366e+01
5.655594720669704429e+02,1.172538821473635018e+01
5.662084127440020893e+02,1.203347894036209986e+01
5.668653282754595466e+02,1.238847386987478671e+01
5.675332866220472852e+02,1.282438394446480778e+01
5.682183200419965488e+02,1.338810791365661501e+01
5.689340605406249551e+02,1.418880710660898892e+01
5.697313112143745002e+02,1.563468838667311722e+01
5.713397478942705447e+02,1.635296053777771519e+01
5.736601095965010018e+02,1.653089721767761944e+01
5.766432895528623703e+02,1.311450258132489388e+01
5.773427530677780624e+02,1.379268423160842261e+01
5.780908397917279444e+02,1.484899002115925093e+01
5.797385092844766632e+02,1.203896162988575824e+01
5.803956454432586725e+02,1.240442785214070653e+01
5.810641539794240771e+02,1.284440569704669066e+01
5.817500870056726399e+02,1.341495191044270818e+01
5.824676350097671502e+02,1.422981788019955651e+01
5.832717804913376085e+02,1.572973277040129325e+01
5.849467773407009190e+02,1.707036961417355414e+01
5.885496323120378293e+02,1.440760256484324309e+01
5.893912549631477305e+02,1.619719910469359903e+01
5.916503615218859977e+02,1.527996615277103665e+01
5.931894207260662597e+02,1.462522132474189185e+01
5.941120795257387499e+02,1.699421345825312812e+01
5.977541810387313035e+02,1.329449391171962702e+01
5.984640760484186330e+02,1.405302353297099138e+01
5.992414733057357807e+02,1.534219921215403026e+01
6.007841033294930639e+02,1.489862621998832459e+01
