a	c	reference_raw_word	new_raw_word	new_library_from_reference_seed	critical_state_error	reference_residual	new_residual	new_word_in_immediate_reference_neighbors
0.421568627451	2.43137254902	00010011	00110011	00010011	1.093016001087518e-8	-3.27572062569e-10	-2.6149568380048037e-8	true
0.423529411765	2.41176470588	00010011	00110011	00010011	1.0571538966428399e-8	-3.50404496228e-10	-2.551855293997393e-8	true
0.425490196078	2.39215686275	00010011	00110011	00010011	1.0339859953426241e-8	-3.74362371299e-10	-2.487363919264931e-8	true
0.435294117647	2.33333333333	00000000	00011111	00000000	9.748501288695148e-9	-4.83343918025e-10	-2.4748759180639184e-8	true
0.445098039216	2.23529411765	00011111	00111111	00011111	7.936144963054624e-9	-6.48109334563e-10	-2.0969657285263205e-8	true
0.448039215686	2.21568627451	00011001	00111001	00011001	7.663724861097964e-9	-7.02164194872e-10	-2.0607751221741203e-8	true
0.462745098039	2.11764705882	00011001	00111001	00011001	6.381693716540257e-9	-9.71562610912e-10	-1.8446376022655593e-8	true
0.46568627451	2.09803921569	00011001	00111001	00011001	6.103083575553554e-9	-1.06762311855e-09	-1.794807019133018e-8	true
0.46862745098	2.07843137255	00010001	00110001	00010001	5.903621218036659e-9	-1.09741088933e-09	-1.7430087294867067e-8	true
0.471568627451	2.05882352941	00010110	00110110	00010110	5.402759194481081e-9	-1.21450559434e-09	-1.689291308829999e-8	true
0.474509803922	2.03921568627	00010110	00110110	00010110	5.346632290487418e-9	-1.08555307908e-09	-1.6336983759006445e-8	true
0.477450980392	2.01960784314	00010110	00110110	00010110	5.120983313450154e-9	-9.57486574153e-10	-1.5764666521662914e-8	true
0.493137254902	2.33333333333	00000011	00001100	00000011	1.949981631829421e-8	-1.00985535098e-09	-6.276779332213358e-8	false
0.495098039216	2.27450980392	00000010	00001101	00000010	1.7045352604605544e-8	-1.20709745517e-09	-5.5422120355653885e-8	false
